period_end,net_sales,cost_of_sales,gross_profit,operating_income,financial_expenses,financial_income,net_income,cash,inventories,current_assets,total_assets,current_liabilities,equity,financial_debt_approx,gross_margin,operating_margin,net_margin,cost_of_sales_to_sales,financial_expense_to_sales,financial_expense_to_gross_profit,current_ratio,cash_to_current_liabilities,inventory_to_current_assets,financial_debt_to_assets,financial_debt_to_equity,operating_income_to_financial_expense
2015-03-31,78219000.0,-60944000.0,17275000.0,7222000.0,6447000.0,85000.0,-274000.0,,,,,,,,0.22085426814456846,0.09233050793285519,-0.0035029852081974967,0.7791457318554316,0.0824224293330265,0.3731982633863965,,,,,,1.1202109508298432
2015-06-30,68389000.0,-53807000.0,14582000.0,5967000.0,4549000.0,754000.0,509000.0,,,,,,,,0.2132214244980918,0.08725087367851556,0.007442717396072468,0.7867785755019082,0.06651654505841582,0.31195995062405707,,,,,,1.3117168608485381
2015-09-30,68644000.0,-57669000.0,10975000.0,1036000.0,4541000.0,4808000.0,-1108000.0,,,,,,,,0.15988287395839404,0.015092360585047492,-0.016141250509877046,0.8401171260416059,0.06615290484237515,0.4137585421412301,,,,,,0.2281435807090949
2015-12-31,52477000.0,-44266000.0,8211000.0,-523000.0,3154000.0,2858000.0,3734000.0,29954000.0,57528000.0,122048000.0,530853000.0,80246000.0,239531000.0,131357000.0,0.1564685481258456,-0.009966270937744154,0.07115498218267051,0.8435314518741543,0.06010252110448387,0.38411886493727926,1.5209231612790668,0.37327717269396604,0.4713555322496067,0.24744514959885316,0.5483924836451232,-0.16582117945466074
2016-03-31,49096000.0,-42093000.0,7003000.0,213000.0,4665000.0,602000.0,-3942000.0,27292000.0,48188000.0,101298000.0,506007000.0,67832000.0,235585000.0,118031000.0,0.1426389115202868,0.004338438976698712,-0.08029167345608604,0.8573610884797133,0.09501792406713377,0.6661430815364844,1.493365962967331,0.4023469748791131,0.47570534462674485,0.23325961893807792,0.5010123734533183,0.04565916398713826
2016-06-30,60875000.0,-51370000.0,9505000.0,1695000.0,3712000.0,2174000.0,-1355000.0,31640000.0,33655000.0,101469000.0,502685000.0,73097000.0,234230000.0,113613000.0,0.15613963039014372,0.02784394250513347,-0.022258726899383983,0.8438603696098562,0.06097741273100616,0.3905312993161494,1.38814178420455,0.43284950134752453,0.3316776552444589,0.22601231387449397,0.4850488835759723,0.4566271551724138
2016-09-30,53291000.0,-41577000.0,11714000.0,3094000.0,3724000.0,1939000.0,1480000.0,31034000.0,48092000.0,114734000.0,509136000.0,86491000.0,235705000.0,106232000.0,0.21981197575575614,0.058058584001050836,0.027772044059972602,0.7801880242442438,0.06988046762117431,0.31791019293153494,1.326542646055659,0.3588118995039946,0.4191608415988286,0.20865151943684987,0.45069896692900024,0.8308270676691729
2016-12-31,67449000.0,-44878000.0,22571000.0,9548000.0,3611000.0,1857000.0,9702000.0,16810000.0,45478000.0,114725000.0,519379000.0,92259000.0,246658000.0,101833000.0,0.33463802280241367,0.14155880739521712,0.1438420139661077,0.6653619771975863,0.05353674628237631,0.15998405033006957,1.2435101182540458,0.18220444617869258,0.3964088036609283,0.19606684136247327,0.41285099206188325,2.644142896704514
2017-03-31,83923000.0,-49047000.0,34876000.0,26837000.0,13213000.0,59000.0,14242000.0,31222000.0,60072000.0,147176000.0,547216000.0,78345000.0,260752000.0,112969000.0,0.41557141665574393,0.3197812280304565,0.16970318029622392,0.5844285833442561,0.1574419408267102,0.37885652024314714,1.8785627672474312,0.398519369455613,0.4081643746262978,0.20644315955673812,0.4332430815487513,2.031105729206085
2017-06-30,89862000.0,-58583000.0,31279000.0,21242000.0,8961000.0,356000.0,10980000.0,28449000.0,63326000.0,157125000.0,554953000.0,78109000.0,267238000.0,113967000.0,0.3480781642963655,0.2363846787296076,0.12218735394271216,0.6519218357036345,0.09971957000734459,0.2864861408612807,2.011611978133122,0.3642217926231292,0.4030294351630867,0.20536333707539198,0.4264625539781019,2.3704943644682515
2017-09-30,92504000.0,-57880000.0,34624000.0,22887000.0,5407000.0,1748000.0,15830000.0,48934000.0,65551000.0,176898000.0,573158000.0,82419000.0,286715000.0,108985000.0,0.37429732768312723,0.24741632794257545,0.17112773501686412,0.6257026723168728,0.058451526420479114,0.1561633548983364,2.146325483201689,0.5937223213094068,0.37055817476738007,0.19014826627212741,0.3801161432084125,4.23284631033845
2017-12-31,93051000.0,-55684000.0,37367000.0,19641000.0,5312000.0,11121000.0,21018000.0,66153000.0,67469000.0,206016000.0,605873000.0,134857000.0,298220000.0,105862000.0,0.40157548011305627,0.21107779604732888,0.22587613244349872,0.5984245198869437,0.05708697381006115,0.1421575186662028,1.5276626352358424,0.4905418332010945,0.32749398105001554,0.17472638655295747,0.35497954530212594,3.6974774096385543
2018-03-31,89346000.0,-58543000.0,30803000.0,20974000.0,15401000.0,528000.0,3423000.0,54980000.0,73210000.0,195588000.0,594200000.0,116688000.0,301065000.0,112200000.0,0.34476081749602666,0.23475029659973587,0.03831173191860856,0.6552391825039733,0.17237481252658204,0.49998376781482323,1.6761620732208968,0.47117098587686823,0.37430721721168986,0.18882531134298217,0.37267699666185045,1.3618596195052268
2018-06-30,101145000.0,-70454000.0,30691000.0,20158000.0,5788000.0,2374000.0,25140000.0,55233000.0,76073000.0,205026000.0,632395000.0,155827000.0,311553000.0,133601000.0,0.30343566167383457,0.19929803747095753,0.24855405605813435,0.6965643383261654,0.05722477631123635,0.18858948877521098,1.3157283397614021,0.35445076912216755,0.37104074605172027,0.21126194862388223,0.428822704323181,3.4827228749136143
