driver_label,driver,outcome_label,outcome,driver_transform,outcome_transform,shock_type,shock_size,impact_unit,higher_outcome_is_good,business_read,n_obs,beta,intercept,r2,impact,favorable,impact_label,r2_label,signal_strength,business_impact,business_impact_label,expected_business_impact_sign,estimated_business_impact_sign,sign_matches_economic_logic,recommended_use,presentation_priority
Oro +1%,gold_usd_oz_qavg,Ventas,net_sales,log,log,pct_driver,0.01,% ventas,True,Precio del oro sube 1% -> cambio estimado en ventas,44,0.09146424210592866,17.635140724030137,0.011126320023893577,0.09146424210592866,True,+0.09 % ventas,R2 0.01,Baja,0.09146424210592866,Favorable,1,1.0,True,"Direccional, baja confianza",2
Oro +1%,gold_usd_oz_qavg,Margen bruto,gross_margin,log,level,pct_driver,0.01,bps margen,True,Precio del oro sube 1% -> cambio estimado en margen bruto,44,-0.08582018312233317,0.8501911971023408,0.09323935264930794,-8.539392159466873,False,-8.54 bps margen,R2 0.09,Baja,-8.539392159466873,Desfavorable,1,-1.0,False,No concluyente: signo contraintuitivo,3
Manganeso +1%,manganese_ore_usd_dmtu_qavg,Ventas,net_sales,log,log,pct_driver,0.01,% ventas,True,Precio del manganeso sube 1% -> cambio estimado en ventas,19,1.9610350042188855,15.433573745862109,0.4480124348017869,1.9610350042188855,True,+1.96 % ventas,R2 0.45,Media,1.9610350042188855,Favorable,1,1.0,True,Usable preliminarmente,1
Manganeso +1%,manganese_ore_usd_dmtu_qavg,Margen bruto,gross_margin,log,level,pct_driver,0.01,bps margen,True,Precio del manganeso sube 1% -> cambio estimado en margen bruto,19,0.44356684715916345,-0.485656836234272,0.2681979974877887,44.136368847303196,True,+44.14 bps margen,R2 0.27,Media,44.136368847303196,Favorable,1,1.0,True,Usable preliminarmente,1
Manganeso +1%,manganese_ore_usd_dmtu_qavg,Margen operativo,operating_margin,log,level,pct_driver,0.01,bps margen,True,Precio del manganeso sube 1% -> cambio estimado en margen operativo,19,0.6047382955879208,-0.8932079305767774,0.3433992786432636,60.173461206807744,True,+60.17 bps margen,R2 0.34,Media,60.173461206807744,Favorable,1,1.0,True,Usable preliminarmente,1
USD/MXN +1%,usd_mxn_qavg,Margen bruto,gross_margin,log,level,pct_driver,0.01,bps margen,True,USD/MXN sube 1% -> cambio estimado en margen bruto,39,0.22159469247782537,-0.4386675942404195,0.023595787663887036,22.049405054604012,True,+22.05 bps margen,R2 0.02,Baja,22.049405054604012,Favorable,1,1.0,True,"Direccional, baja confianza",2
USD/MXN +1%,usd_mxn_qavg,Margen operativo,operating_margin,log,level,pct_driver,0.01,bps margen,True,USD/MXN sube 1% -> cambio estimado en margen operativo,39,0.3098124810645044,-0.8487407249504416,0.03339968424465334,30.827366890326932,True,+30.83 bps margen,R2 0.03,Baja,30.827366890326932,Favorable,1,1.0,True,"Direccional, baja confianza",2
Inflacion MX +100 bps,mex_inflation_yoy_qavg,Margen bruto,gross_margin,level,level,level_driver,0.01,bps margen,True,Inflacion anual MX sube 100 bps -> cambio estimado en margen bruto,0,,,,,False,n/a,R2 n/a,n/a,,Neutral,-1,,False,No concluyente: signo contraintuitivo,3
SOFR +100 bps,sofr_qavg,Gasto financiero / ventas,financial_expense_to_sales,level,level,level_driver,0.01,bps de ventas,False,SOFR sube 100 bps -> cambio estimado en gasto financiero / ventas,30,1.6070453750972569,0.05136853034543389,0.2548926782901326,160.70453750972567,False,+160.70 bps de ventas,R2 0.25,Media,-160.70453750972567,Desfavorable,-1,-1.0,True,Usable preliminarmente,1
TIIE +100 bps,tiie_28d_qavg,Gasto financiero / ventas,financial_expense_to_sales,level,level,level_driver,0.01,bps de ventas,False,TIIE sube 100 bps -> cambio estimado en gasto financiero / ventas,33,1.187901937995069,-0.0033782663897823414,0.1843059643487871,118.7901937995069,False,+118.79 bps de ventas,R2 0.18,Baja,-118.7901937995069,Desfavorable,-1,-1.0,True,"Direccional, baja confianza",2
SOFR +100 bps,sofr_qavg,Margen operativo,operating_margin,level,level,level_driver,0.01,bps margen,True,SOFR sube 100 bps -> cambio estimado en margen operativo,31,-2.32547861253436,0.09934362188808248,0.2441919747110206,-232.547861253436,False,-232.55 bps margen,R2 0.24,Baja,-232.547861253436,Desfavorable,-1,-1.0,True,"Direccional, baja confianza",2
