date,variable,label,unit,base_flat,trend_drift,low_80,high_80,is_forecast
2026-06-30,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,4730.5877328868055,4453.230827427605,4873.105409210407,True
2026-07-31,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,4803.852856007403,4370.901246734293,4964.894425334796,True
2026-08-31,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,4878.252674977441,4308.761083603526,5036.497223338931,True
2026-09-30,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,4953.8047634337945,4257.061334341873,5097.662807565565,True
2026-10-31,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5030.5269671856095,4212.027196785123,5152.165980828325,True
2026-11-30,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5108.437408429541,4171.723405233035,5201.94200947696,True
2026-12-31,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5187.554490030322,4135.000721332326,5248.140132514358,True
2027-01-31,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5267.896899867628,4101.110609711275,5291.508885961939,True
2027-02-28,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5349.483615250219,4069.5333133712834,5332.5680274680935,True
2027-03-31,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5432.333907398539,4039.8905290732564,5371.695860921802,True
2027-04-30,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5516.467345996638,4011.8967652661445,5409.177878524094,True
2027-05-31,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5601.903803814652,3985.330298463912,5445.235804411082,True
2027-06-30,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5688.663461402868,3960.014863181396,5480.045904718096,True
2027-07-31,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5776.766811858433,3935.8075922512485,5513.751047262748,True
2027-08-31,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5866.234665666001,3912.590782314482,5546.468936054385,True
2027-09-30,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,5957.088155613234,3890.2660985970847,5578.2979065174695,True
2027-10-31,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,6049.348741782507,3868.750390056633,5609.321110344968,True
2027-11-30,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,6143.038216619848,3847.9725996218217,5639.609605258826,True
2027-12-31,gold_usd_oz,Gold price,USD/oz,4658.4400000000005,6238.178710082493,3827.8714384456166,5669.22468075682,True
