date,lstm_forecast,variable
2026-07-01,4809.5747,Oro (USD/oz)
2026-08-01,4834.3564,Oro (USD/oz)
2026-09-01,4874.569,Oro (USD/oz)
2026-10-01,4907.8228,Oro (USD/oz)
2026-11-01,4935.661,Oro (USD/oz)
2026-12-01,4959.4795,Oro (USD/oz)
2027-01-01,4978.0645,Oro (USD/oz)
2027-02-01,4993.9272,Oro (USD/oz)
2027-03-01,5009.5728,Oro (USD/oz)
2027-04-01,5025.555,Oro (USD/oz)
2027-05-01,5040.1606,Oro (USD/oz)
2027-06-01,5052.784,Oro (USD/oz)
2027-07-01,5063.44,Oro (USD/oz)
2027-08-01,5073.039,Oro (USD/oz)
2027-09-01,5081.4307,Oro (USD/oz)
2027-10-01,5088.8403,Oro (USD/oz)
2027-11-01,5095.3965,Oro (USD/oz)
2027-12-01,5101.2017,Oro (USD/oz)
2028-01-01,5106.337,Oro (USD/oz)
2026-07-01,4.702673,Manganeso (USD/dmtu)
2026-08-01,4.47999,Manganeso (USD/dmtu)
2026-09-01,4.2670093,Manganeso (USD/dmtu)
2026-10-01,4.115212,Manganeso (USD/dmtu)
2026-11-01,4.0661383,Manganeso (USD/dmtu)
2026-12-01,4.108913,Manganeso (USD/dmtu)
2027-01-01,4.186998,Manganeso (USD/dmtu)
2027-02-01,4.2491174,Manganeso (USD/dmtu)
2027-03-01,4.264538,Manganeso (USD/dmtu)
2027-04-01,4.231036,Manganeso (USD/dmtu)
2027-05-01,4.141957,Manganeso (USD/dmtu)
2027-06-01,4.039025,Manganeso (USD/dmtu)
2027-07-01,4.5181503,Manganeso (USD/dmtu)
2027-08-01,5.7057233,Manganeso (USD/dmtu)
2027-09-01,5.4149213,Manganeso (USD/dmtu)
2027-10-01,4.83392,Manganeso (USD/dmtu)
2027-11-01,4.6409926,Manganeso (USD/dmtu)
2027-12-01,4.448612,Manganeso (USD/dmtu)
2028-01-01,4.2541633,Manganeso (USD/dmtu)
