model_name,sample_name,y_col,x_cols,n_obs,r2,adj_r2,aic,bic,status
ln_sales ~ manganese_t,Full 2015-2025,ln_sales,ln_manganese,19,0.4480124348017862,0.4155425780254207,-1.0515338107211747,0.8373441476117058,ok
ln_sales ~ manganese_t_minus_1,Full 2015-2025,ln_sales,ln_manganese_lag1,18,0.6407139206765944,0.6182585407188815,-7.543899407977769,-5.7631558921854396,ok
ln_sales ~ manganese_t_minus_2,Full 2015-2025,ln_sales,ln_manganese_lag2,17,0.5892412756929666,0.5618573607391644,-4.218939398170864,-2.5525127100584317,ok
ln_sales ~ manganese_t + lag1,Full 2015-2025,ln_sales,"ln_manganese, ln_manganese_lag1",18,0.6766098616961962,0.6334911765890223,-7.438570347018519,-4.7674550733300265,ok
gross_margin ~ manganese_t,Full 2015-2025,gross_margin,ln_manganese,19,0.26819799748778883,0.2251508208694235,-42.42742274796822,-40.53854478963534,ok
gross_margin ~ manganese_t_minus_1,Full 2015-2025,gross_margin,ln_manganese_lag1,18,0.30360931282927084,0.2600848948811003,-40.17874140147368,-38.39799788568135,ok
gross_margin ~ manganese_t_minus_2,Full 2015-2025,gross_margin,ln_manganese_lag2,17,0.14209099513664247,0.08489706147908527,-36.87226725801119,-35.20584056989876,ok
gross_margin ~ manganese_t + lag1,Full 2015-2025,gross_margin,"ln_manganese, ln_manganese_lag1",18,0.33464788151132796,0.24593426571283838,-38.999441195153004,-36.32832592146451,ok
operating_margin ~ manganese_t,Full 2015-2025,operating_margin,ln_manganese,19,0.3433992786432636,0.30477570679874966,-37.40586851703912,-35.51699055870624,ok
operating_margin ~ manganese_t_minus_1,Full 2015-2025,operating_margin,ln_manganese_lag1,18,0.3526851297875242,0.31222795039924445,-34.92722954639819,-33.14648603060586,ok
operating_margin ~ manganese_t_minus_2,Full 2015-2025,operating_margin,ln_manganese_lag2,17,0.19025773902149146,0.1362749216229242,-31.09157569686073,-29.4251490087483,ok
operating_margin ~ manganese_t + lag1,Full 2015-2025,operating_margin,"ln_manganese, ln_manganese_lag1",18,0.40413790869216326,0.3246896298511184,-34.418054132110974,-31.74693885842248,ok
