financial_outcome,macro_driver,n_obs,correlation
net_sales,tiie_28d_change_pp,33,0.7776614180010685
net_sales,manganese_ore_usd_dmtu_qavg,19,0.6506603297891512
operating_margin,manganese_ore_usd_dmtu_qavg,19,0.587015130774333
financial_expense_to_sales,manganese_ore_usd_dmtu_qavg,18,-0.5799213294804156
net_sales,sofr_change_pp,30,0.5609828961733552
gross_margin,manganese_ore_usd_dmtu_qavg,19,0.5166879980370508
cost_of_sales_to_sales,manganese_ore_usd_dmtu_qavg,19,-0.5166879980370507
financial_expense_to_sales,sofr_qavg,30,0.5048689714075648
operating_margin,sofr_qavg,31,-0.4941578439233974
net_sales,sofr_qavg,31,-0.44859518285616606
financial_expense_to_sales,tiie_28d_qavg,33,0.4293087051863577
operating_income_to_financial_expense,manganese_ore_usd_dmtu_qavg,18,0.42550270189886746
sales_qoq_pct,manganese_ore_usd_dmtu_qavg,19,0.4191560958819535
gross_margin,sofr_qavg,31,-0.39566153887023575
cost_of_sales_to_sales,sofr_qavg,31,0.39566153887023575
financial_expense_to_sales,usd_mxn_qavg,38,-0.38447639957924784
sales_qoq_pct,tiie_28d_qavg,34,-0.3832661578497931
operating_margin,tiie_28d_qavg,34,-0.37885835436186155
operating_margin,gold_usd_oz_qavg,44,-0.3733934688104379
operating_income_to_financial_expense,sofr_qavg,30,-0.37048468720751376
sales_qoq_pct,sofr_qavg,31,-0.3299962401988226
gross_margin,tiie_28d_qavg,34,-0.3125665859252704
cost_of_sales_to_sales,tiie_28d_qavg,34,0.31256658592527037
gross_margin,gold_usd_oz_qavg,44,-0.2875962452092789
cost_of_sales_to_sales,gold_usd_oz_qavg,44,0.2875962452092788
operating_income_to_financial_expense,tiie_28d_qavg,33,-0.28099907760630866
financial_expense_to_sales,gold_usd_oz_qavg,43,0.2707352479671162
net_sales,usd_mxn_qavg,39,0.2650672697009428
net_sales,tiie_28d_qavg,34,-0.25652393547820196
operating_margin_change_pp,sofr_change_pp,30,-0.24719676741348004
financial_expense_to_sales,usd_mxn_qoq_pct,37,-0.2396080649565535
financial_expense_to_sales,mxn_appreciation_qoq,37,0.2396080649565535
operating_income_to_financial_expense,tiie_28d_change_pp,32,0.23810271483325698
gross_margin_change_pp,sofr_change_pp,30,-0.23146838413593337
operating_margin,gold_qoq_pct,43,-0.22392934815911647
cost_of_sales_to_sales,gold_qoq_pct,43,0.21487745319067367
gross_margin,gold_qoq_pct,43,-0.21487745319067358
net_sales,gold_qoq_pct,43,-0.20578604927213903
operating_margin,tiie_28d_change_pp,33,0.1960543716414361
gross_margin_change_pp,manganese_ore_usd_dmtu_qavg,19,0.17817097583998584
operating_margin_change_pp,manganese_ore_usd_dmtu_qavg,19,0.17695604598438808
operating_margin,usd_mxn_qavg,39,0.17361138376070803
operating_income_to_financial_expense,gold_usd_oz_qavg,43,-0.17342896103530261
operating_margin_change_pp,gold_qoq_pct,43,0.16325236530182483
operating_margin_change_pp,manganese_qoq_pct,18,0.16275214701519294
net_sales,manganese_qoq_pct,18,-0.15876356028885913
gross_margin_change_pp,mxn_appreciation_qoq,38,-0.15458006613107134
gross_margin_change_pp,usd_mxn_qoq_pct,38,0.15458006613107134
gross_margin,tiie_28d_change_pp,33,0.15361678371727305
cost_of_sales_to_sales,tiie_28d_change_pp,33,-0.15361678371727303
cost_of_sales_to_sales,usd_mxn_qoq_pct,38,-0.1528008270387183
cost_of_sales_to_sales,mxn_appreciation_qoq,38,0.1528008270387183
gross_margin,usd_mxn_qoq_pct,38,0.15280082703871814
gross_margin,mxn_appreciation_qoq,38,-0.15280082703871814
operating_income_to_financial_expense,usd_mxn_qavg,38,0.14676525029067666
gross_margin,usd_mxn_qavg,39,0.14667032445888112
cost_of_sales_to_sales,usd_mxn_qavg,39,-0.14667032445888106
financial_expense_to_sales,gold_qoq_pct,42,0.14165779093770892
financial_expense_to_sales,tiie_28d_change_pp,32,-0.14065467471326448
gross_margin_change_pp,manganese_qoq_pct,18,0.1381535358441213
financial_expense_to_sales,manganese_qoq_pct,17,-0.12709387004219447
operating_income_to_financial_expense,gold_qoq_pct,42,-0.12637766814134166
gross_margin_change_pp,tiie_28d_change_pp,33,-0.11757241825133553
sales_qoq_pct,gold_qoq_pct,43,-0.10951958594186763
sales_qoq_pct,usd_mxn_qavg,39,0.1082853035775781
operating_margin_change_pp,tiie_28d_change_pp,33,-0.10610993069986413
gross_margin_change_pp,gold_qoq_pct,43,0.10561005772171997
sales_qoq_pct,sofr_change_pp,30,-0.10510727243262533
operating_margin_change_pp,usd_mxn_qoq_pct,38,0.10418146188176837
operating_margin_change_pp,mxn_appreciation_qoq,38,-0.10418146188176837
operating_margin,mxn_appreciation_qoq,38,-0.09728167781958608
operating_margin,usd_mxn_qoq_pct,38,0.09728167781958608
net_sales,usd_mxn_qoq_pct,38,-0.09217462419904654
net_sales,mxn_appreciation_qoq,38,0.09217462419904654
operating_income_to_financial_expense,manganese_qoq_pct,17,-0.09003697826566354
sales_qoq_pct,mxn_appreciation_qoq,38,-0.08851204696602791
sales_qoq_pct,usd_mxn_qoq_pct,38,0.08851204696602791
operating_margin_change_pp,tiie_28d_qavg,34,-0.060455177105699205
gross_margin,manganese_qoq_pct,18,-0.05499994232712772
