model_name,sample_name,y_col,x_cols,n_obs,r2,adj_r2,aic,bic,status,model_family,rank_within_y
Sales ~ manganese | 2015-2019,2015-2019,ln_sales,ln_manganese,0,,,,,insufficient_obs,subperiod,
Gross margin ~ manganese | 2015-2019,2015-2019,gross_margin,ln_manganese,0,,,,,insufficient_obs,subperiod,
Operating margin ~ manganese | 2015-2019,2015-2019,operating_margin,ln_manganese,0,,,,,insufficient_obs,subperiod,
Sales ~ manganese | 2020-2025,2020-2025,ln_sales,ln_manganese,19,0.4480124348017862,0.4155425780254207,-1.0515338107211747,0.8373441476117058,ok,subperiod,6.0
Gross margin ~ manganese | 2020-2025,2020-2025,gross_margin,ln_manganese,19,0.26819799748778883,0.2251508208694235,-42.42742274796822,-40.53854478963534,ok,subperiod,5.0
Operating margin ~ manganese | 2020-2025,2020-2025,operating_margin,ln_manganese,19,0.3433992786432636,0.30477570679874966,-37.40586851703912,-35.51699055870624,ok,subperiod,5.0
Sales ~ manganese | 2021-2025,2021-2025,ln_sales,ln_manganese,19,0.4480124348017862,0.4155425780254207,-1.0515338107211747,0.8373441476117058,ok,subperiod,6.0
Gross margin ~ manganese | 2021-2025,2021-2025,gross_margin,ln_manganese,19,0.26819799748778883,0.2251508208694235,-42.42742274796822,-40.53854478963534,ok,subperiod,5.0
Operating margin ~ manganese | 2021-2025,2021-2025,operating_margin,ln_manganese,19,0.3433992786432636,0.30477570679874966,-37.40586851703912,-35.51699055870624,ok,subperiod,5.0
Sales ~ manganese | Full 2015-2025,Full 2015-2025,ln_sales,ln_manganese,19,0.4480124348017862,0.4155425780254207,-1.0515338107211747,0.8373441476117058,ok,subperiod,6.0
Gross margin ~ manganese | Full 2015-2025,Full 2015-2025,gross_margin,ln_manganese,19,0.26819799748778883,0.2251508208694235,-42.42742274796822,-40.53854478963534,ok,subperiod,5.0
Operating margin ~ manganese | Full 2015-2025,Full 2015-2025,operating_margin,ln_manganese,19,0.3433992786432636,0.30477570679874966,-37.40586851703912,-35.51699055870624,ok,subperiod,5.0
