model_name,sample_name,y_col,term,coef,p_value,std_err,t_stat,n_obs,r2,adj_r2,interpretation_unit,impact_per_1pct_driver,impact_per_100bps_driver
Sales ~ manganese + USD/MXN,Available observations,ln_sales,const,10.800710047258814,6.114813322563548e-05,2.0070023553527085,5.381513389086535,19,0.6000739797829506,0.5500832272558195,raw coefficient,,
Sales ~ manganese + USD/MXN,Available observations,ln_sales,ln_manganese,1.4808859275489201,0.009462461377909433,0.5024457613620515,2.9473548021073377,19,0.6000739797829506,0.5500832272558195,% sales per +1% driver,1.4808859275489201,
Sales ~ manganese + USD/MXN,Available observations,ln_sales,ln_usd_mxn,1.8208844362173326,0.02532221740983748,0.7382484160744199,2.4664928451858357,19,0.6000739797829506,0.5500832272558195,% sales per +1% driver,1.8208844362173326,
Sales ~ manganese + USD/MXN + SOFR,Available observations,ln_sales,const,14.273959044931908,0.0018009732245054036,3.7721251572852013,3.7840629485382395,19,0.6291828747066017,0.5550194496479222,raw coefficient,,
Sales ~ manganese + USD/MXN + SOFR,Available observations,ln_sales,ln_manganese,0.9007421129661634,0.23732159661580876,0.7317896938633529,1.2308756470876985,19,0.6291828747066017,0.5550194496479222,% sales per +1% driver,0.9007421129661634,
Sales ~ manganese + USD/MXN + SOFR,Available observations,ln_sales,ln_usd_mxn,1.000332434520306,0.35760566958878104,1.0539665564091052,0.9491121216677574,19,0.6291828747066017,0.5550194496479222,% sales per +1% driver,1.000332434520306,
Sales ~ manganese + USD/MXN + SOFR,Available observations,ln_sales,sofr_qavg,-5.0886345364761665,0.2950002002308815,4.689458143108014,-1.0851220719295285,19,0.6291828747066017,0.5550194496479222,% sales per +100 bps rate,,-5.0886345364761665
Gross margin ~ manganese + USD/MXN,Available observations,gross_margin,const,-1.439559744174477,0.07352231406922527,0.7516643077578976,-1.9151630978308238,19,0.34362844673337156,0.26158200257504305,raw coefficient,,
Gross margin ~ manganese + USD/MXN,Available observations,gross_margin,ln_manganese,0.3447045386007747,0.08566055535097405,0.1881764335716113,1.8318156639396401,19,0.34362844673337156,0.26158200257504305,bps margin per +1% driver,34.2992420566636,
Gross margin ~ manganese + USD/MXN,Available observations,gross_margin,ln_usd_mxn,0.3749186403335007,0.19393043107455013,0.27648945360825106,1.355996170706427,19,0.34362844673337156,0.26158200257504305,bps margin per +1% driver,37.30564514338263,
Gross margin ~ manganese + USD/MXN + SOFR,Available observations,gross_margin,const,-0.4892723596643755,0.7384536058845932,1.4383641712745248,-0.34015888982470593,19,0.36912501936911235,0.2429500232429348,raw coefficient,,
Gross margin ~ manganese + USD/MXN + SOFR,Available observations,gross_margin,ln_manganese,0.18597611211338413,0.5152243670433847,0.27904166290138205,0.666481521718537,19,0.36912501936911235,0.2429500232429348,bps margin per +1% driver,18.505238463140543,
Gross margin ~ manganese + USD/MXN + SOFR,Available observations,gross_margin,ln_usd_mxn,0.15041408679599114,0.7134451457389636,0.40189221440136513,0.37426474414300126,19,0.36912501936911235,0.2429500232429348,bps margin per +1% driver,14.96669928597254,
Gross margin ~ manganese + USD/MXN + SOFR,Available observations,gross_margin,sofr_qavg,-1.3922598718477681,0.4483239162846079,1.7881560909269016,-0.7786008609159404,19,0.36912501936911235,0.2429500232429348,bps outcome per +100 bps rate,,-139.2259871847768
Operating margin ~ manganese + USD/MXN,Available observations,operating_margin,const,-2.1499785526145563,0.021164369227069255,0.8412977682406758,-2.5555500487188945,19,0.4335932378806091,0.3627923926156853,raw coefficient,,
Operating margin ~ manganese + USD/MXN,Available observations,operating_margin,ln_manganese,0.4744868370916801,0.038657409836959006,0.210615845351908,2.2528544151029215,19,0.4335932378806091,0.3627923926156853,bps margin per +1% driver,47.21301014535487,
Operating margin ~ manganese + USD/MXN,Available observations,operating_margin,ln_usd_mxn,0.4939567003133906,0.13000603373655875,0.3094598983375255,1.5961896936146338,19,0.4335932378806091,0.3627923926156853,bps margin per +1% driver,49.15032595257436,
Operating margin ~ manganese + USD/MXN + SOFR,Available observations,operating_margin,const,-0.5508436305020906,0.7303028068934472,1.5683417291606827,-0.3512267895829574,19,0.48332904318518544,0.3799948518222226,raw coefficient,,
