rate_regime,driver,outcome,n_obs,correlation
High-rate regime,manganese_qoq_pct,sales_qoq_pct,13,-0.05304843894347312
High-rate regime,manganese_qoq_pct,gross_margin_change_pp,13,0.29838628135874173
High-rate regime,manganese_qoq_pct,operating_margin_change_pp,13,0.30142032890587916
High-rate regime,manganese_qoq_pct,financial_expense_to_sales,13,-0.135578435415491
High-rate regime,gold_qoq_pct,sales_qoq_pct,13,0.21352157764535099
High-rate regime,gold_qoq_pct,gross_margin_change_pp,13,0.23013615896533268
High-rate regime,gold_qoq_pct,operating_margin_change_pp,13,0.2993958923765965
High-rate regime,gold_qoq_pct,financial_expense_to_sales,13,-0.02172735307990955
High-rate regime,usd_mxn_qoq_pct,sales_qoq_pct,13,0.43466879105666684
High-rate regime,usd_mxn_qoq_pct,gross_margin_change_pp,13,-0.014279043602122132
High-rate regime,usd_mxn_qoq_pct,operating_margin_change_pp,13,0.039375108606251846
High-rate regime,usd_mxn_qoq_pct,financial_expense_to_sales,13,-0.17874396168766693
High-rate regime,sofr_change_pp,sales_qoq_pct,13,-0.38242215435457866
High-rate regime,sofr_change_pp,gross_margin_change_pp,13,-0.37969871177328063
High-rate regime,sofr_change_pp,operating_margin_change_pp,13,-0.43053155220301675
High-rate regime,sofr_change_pp,financial_expense_to_sales,13,-0.0947074052333394
High-rate regime,tiie_28d_change_pp,sales_qoq_pct,13,-0.4423267597551173
High-rate regime,tiie_28d_change_pp,gross_margin_change_pp,13,-0.3333188144585293
High-rate regime,tiie_28d_change_pp,operating_margin_change_pp,13,-0.3606777249378014
High-rate regime,tiie_28d_change_pp,financial_expense_to_sales,13,-0.1067615545584538
Low-rate regime,manganese_qoq_pct,sales_qoq_pct,5,0.5964786502181579
Low-rate regime,manganese_qoq_pct,gross_margin_change_pp,5,-0.2374088277882776
Low-rate regime,manganese_qoq_pct,operating_margin_change_pp,5,-0.1754226956788895
Low-rate regime,manganese_qoq_pct,financial_expense_to_sales,4,0.11480582169442499
Low-rate regime,gold_qoq_pct,sales_qoq_pct,18,-0.04123043538355473
Low-rate regime,gold_qoq_pct,gross_margin_change_pp,18,0.24502765366304455
Low-rate regime,gold_qoq_pct,operating_margin_change_pp,18,0.2553053719508484
Low-rate regime,gold_qoq_pct,financial_expense_to_sales,17,-0.2925481644785962
Low-rate regime,usd_mxn_qoq_pct,sales_qoq_pct,18,-0.2570511981834319
Low-rate regime,usd_mxn_qoq_pct,gross_margin_change_pp,18,0.11146163171334277
Low-rate regime,usd_mxn_qoq_pct,operating_margin_change_pp,18,0.03734861206718575
Low-rate regime,usd_mxn_qoq_pct,financial_expense_to_sales,17,-0.2682437918969173
Low-rate regime,sofr_change_pp,sales_qoq_pct,17,0.13722839419258173
Low-rate regime,sofr_change_pp,gross_margin_change_pp,17,-0.1242874726961715
Low-rate regime,sofr_change_pp,operating_margin_change_pp,17,-0.1190270795864413
Low-rate regime,sofr_change_pp,financial_expense_to_sales,16,-0.3550744461355164
Low-rate regime,tiie_28d_change_pp,sales_qoq_pct,18,0.34236431833781794
Low-rate regime,tiie_28d_change_pp,gross_margin_change_pp,18,0.029693055532669235
Low-rate regime,tiie_28d_change_pp,operating_margin_change_pp,18,0.0493945207687103
Low-rate regime,tiie_28d_change_pp,financial_expense_to_sales,17,-0.288003497531569
