metric,metric_label,High-rate regime,Low-rate regime,high_minus_low,abs_standardized_diff
financial_expense_to_sales_bps,Financial expense / sales (bps),1300.7849802648586,652.6230441185877,648.1619361462709,1.1177270043716536
operating_margin_bps,Operating margin (bps),-244.32607261444656,847.166171795478,-1091.4922444099245,1.0247670691358763
net_sales,Sales level (USD),87455307.6923077,112729500.0,-25274192.307692304,0.917077648928488
gold_qoq_pct,Gold QoQ (%),0.07135453110439739,0.01621450729402331,0.055140023810374084,0.9004253667225439
gross_margin_bps,Gross margin (bps),1515.9799625637675,2178.7307577821725,-662.7507952184051,0.7291311015685199
sales_qoq_pct,Sales QoQ (%),-0.04089695861390766,0.039950037827520705,-0.08084699644142837,0.5745388605101666
cost_qoq_pct,Cost of sales QoQ (%),-2.103660336252034,4.837942008266904,-6.941602344518937,0.4340261163793323
usd_mxn_qoq_pct,USD/MXN QoQ (%),-0.006716941862720171,0.005450955338888008,-0.012167897201608179,0.24833469835572106
sofr_change_pp,SOFR change (pp),0.001420766129032261,0.00022169117647058238,0.0011990749525616785,0.22450046595816397
tiie_28d_change_pp,TIIE change (pp),-0.0006560856418306918,0.0004170536324786333,-0.0010731392743093251,0.15969374025642968
manganese_qoq_pct,Manganese QoQ (%),-0.004707765684821077,-0.0113642891647578,0.006656523479936724,0.07984791731789455
