metric,metric_label,rate_regime,n_obs,mean,median,volatility,min,max
net_sales,Sales level (USD),High-rate regime,13,87455307.6923077,81504000.0,18213903.207827326,72926000.0,135904000.0
net_sales,Sales level (USD),Low-rate regime,18,112729500.0,104042000.0,27576659.191190273,79349000.0,175775000.0
sales_qoq_pct,Sales QoQ (%),High-rate regime,13,-0.04089695861390766,-0.04193489056464961,0.12596233809209964,-0.2599955153856768,0.22923237254202888
sales_qoq_pct,Sales QoQ (%),Low-rate regime,18,0.039950037827520705,0.08715871117053586,0.1349062285052661,-0.20678237836330682,0.261240365039654
cost_qoq_pct,Cost of sales QoQ (%),High-rate regime,13,-2.103660336252034,-4.352815585801972,15.879747235331537,-27.03134801034224,20.457037548951853
cost_qoq_pct,Cost of sales QoQ (%),Low-rate regime,18,4.837942008266904,4.436113977354516,17.440220731282935,-25.4723914744304,46.380101542667454
gross_margin_bps,Gross margin (bps),High-rate regime,13,1515.9799625637675,1583.078554938541,513.3203914129037,381.004238285848,2247.624182786277
gross_margin_bps,Gross margin (bps),Low-rate regime,18,2178.7307577821725,2140.775080582769,792.9334124688083,1083.966782371809,3523.922957376882
operating_margin_bps,Operating margin (bps),High-rate regime,13,-244.32607261444656,-127.056661710127,521.3953915570577,-1564.560277843183,385.79227606659003
operating_margin_bps,Operating margin (bps),Low-rate regime,18,847.166171795478,933.2234105631746,927.3273198946532,-654.320089264056,2463.058266031438
financial_expense_to_sales_bps,Financial expense / sales (bps),High-rate regime,13,1300.7849802648586,1157.8572830781309,704.7636005102615,517.099525546444,2895.407668120237
financial_expense_to_sales_bps,Financial expense / sales (bps),Low-rate regime,17,652.6230441185877,592.091477833986,448.53008872870157,107.537942191342,1877.7187046882552
manganese_qoq_pct,Manganese QoQ (%),High-rate regime,13,-0.004707765684821077,-0.010581006396642056,0.09446082659501777,-0.10756079535485408,0.25270718996971975
manganese_qoq_pct,Manganese QoQ (%),Low-rate regime,5,-0.0113642891647578,-0.01363668978631749,0.05222830084664086,-0.07002816737174644,0.0523370707424089
gold_qoq_pct,Gold QoQ (%),High-rate regime,13,0.07135453110439739,0.058500780085217974,0.061006691103158144,-0.0250469549693616,0.20142053437038676
gold_qoq_pct,Gold QoQ (%),Low-rate regime,18,0.01621450729402331,0.004642781761279524,0.057354921340133765,-0.0775711268546111,0.12705377333581547
usd_mxn_qoq_pct,USD/MXN QoQ (%),High-rate regime,13,-0.006716941862720171,-0.027942573539077697,0.04735128372751494,-0.05247056520023641,0.09807257874014752
usd_mxn_qoq_pct,USD/MXN QoQ (%),Low-rate regime,18,0.005450955338888008,-0.007260456229172152,0.05052853352496205,-0.07027584845827917,0.16366997907259018
tiie_28d_change_pp,TIIE change (pp),High-rate regime,13,-0.0006560856418306918,-0.0014523462759463007,0.007228670674282564,-0.009702931172468995,0.015500413647642708
tiie_28d_change_pp,TIIE change (pp),Low-rate regime,18,0.0004170536324786333,0.00037518402217745495,0.006854347348476297,-0.012995538603913295,0.014129715384615299
sofr_change_pp,SOFR change (pp),High-rate regime,13,0.001420766129032261,3.482862903229911e-05,0.005454371816337985,-0.006012551229508202,0.014686987704918098
sofr_change_pp,SOFR change (pp),Low-rate regime,17,0.00022169117647058238,-1.2903225806499999e-05,0.00536011440136475,-0.0117804147465438,0.014405846774193501
