scope,variable_label,strongest_period,strongest_avg_move,weakest_period,weakest_avg_move,highest_vol_period,highest_volatility
Monthly macro,Gold MoM (%),Jan,3.511720541853354,Nov,-0.24632721501848545,Oct,4.121478434397173
Monthly macro,Manganese MoM (%),May,2.995696499352019,Jul,-3.5677997155790804,May,12.94522942271645
Monthly macro,SOFR MoM (bps),Jul,9.609372863978138,Mar,-10.125207039337464,Mar,35.74818671656168
Monthly macro,TIIE 28D MoM (bps),Dec,7.04039134576116,Apr,-9.802328430752096,Jul,33.682660494305836
Monthly macro,USD/MXN MoM (%),Mar,1.537787805159888,Jul,-1.0972764749220132,Mar,6.503990811603634
Quarterly business,Cost of sales QoQ (%),Q4,4.256155188653945,Q1,-1.412605566999306,Q4,19.514972310736532
Quarterly business,Financial expense QoQ (%),Q1,125.05653410363463,Q2,-8.746808973300832,Q4,212.43425205205472
Quarterly business,Gross margin change (pp),Q1,0.05538547831627688,Q4,-0.06916185482096042,Q4,0.11078320690543873
Quarterly business,Operating margin change (pp),Q1,0.09390644316048395,Q4,-0.09029740286235749,Q4,0.11750245177304512
Quarterly business,Sales QoQ (%),Q1,0.052072313500917844,Q4,-0.04430530682502907,Q2,0.15361119731777456
