model_name,sample_name,y_col,term,coef,p_value,std_err,t_stat,n_obs,r2,adj_r2,interpretation_unit,impact_per_1pct_driver,impact_per_100bps_driver
Sales ~ manganese | 2020-2025,2020-2025,ln_sales,const,15.433573745862132,6.074977706200204e-13,0.8059030678387562,19.1506576432962,19,0.4480124348017862,0.4155425780254207,raw coefficient,,
Sales ~ manganese | 2020-2025,2020-2025,ln_sales,ln_manganese,1.961035004218875,0.0017225869587561102,0.5279350525780642,3.7145383596761703,19,0.4480124348017862,0.4155425780254207,% sales per +1% driver,1.961035004218875,
Gross margin ~ manganese | 2020-2025,2020-2025,gross_margin,const,-0.4856568362342718,0.09123269691422926,0.2712726190248022,-1.7902906602964919,19,0.26819799748778883,0.2251508208694235,raw coefficient,,
Gross margin ~ manganese | 2020-2025,2020-2025,gross_margin,ln_manganese,0.44356684715916295,0.02313345211072294,0.17770663756364086,2.4960623488265115,19,0.26819799748778883,0.2251508208694235,bps margin per +1% driver,44.136368847303146,
Operating margin ~ manganese | 2020-2025,2020-2025,operating_margin,const,-0.8932079305767773,0.010282688177111192,0.3095966909336855,-2.885069371649386,19,0.3433992786432636,0.30477570679874966,raw coefficient,,
Operating margin ~ manganese | 2020-2025,2020-2025,operating_margin,ln_manganese,0.6047382955879207,0.008373834250763894,0.2028121641780028,2.981765408593333,19,0.3433992786432636,0.30477570679874966,bps margin per +1% driver,60.17346120680772,
Sales ~ manganese | 2021-2025,2021-2025,ln_sales,const,15.433573745862132,6.074977706200204e-13,0.8059030678387562,19.1506576432962,19,0.4480124348017862,0.4155425780254207,raw coefficient,,
Sales ~ manganese | 2021-2025,2021-2025,ln_sales,ln_manganese,1.961035004218875,0.0017225869587561102,0.5279350525780642,3.7145383596761703,19,0.4480124348017862,0.4155425780254207,% sales per +1% driver,1.961035004218875,
Gross margin ~ manganese | 2021-2025,2021-2025,gross_margin,const,-0.4856568362342718,0.09123269691422926,0.2712726190248022,-1.7902906602964919,19,0.26819799748778883,0.2251508208694235,raw coefficient,,
Gross margin ~ manganese | 2021-2025,2021-2025,gross_margin,ln_manganese,0.44356684715916295,0.02313345211072294,0.17770663756364086,2.4960623488265115,19,0.26819799748778883,0.2251508208694235,bps margin per +1% driver,44.136368847303146,
Operating margin ~ manganese | 2021-2025,2021-2025,operating_margin,const,-0.8932079305767773,0.010282688177111192,0.3095966909336855,-2.885069371649386,19,0.3433992786432636,0.30477570679874966,raw coefficient,,
Operating margin ~ manganese | 2021-2025,2021-2025,operating_margin,ln_manganese,0.6047382955879207,0.008373834250763894,0.2028121641780028,2.981765408593333,19,0.3433992786432636,0.30477570679874966,bps margin per +1% driver,60.17346120680772,
Sales ~ manganese | Full 2015-2025,Full 2015-2025,ln_sales,const,15.433573745862132,6.074977706200204e-13,0.8059030678387562,19.1506576432962,19,0.4480124348017862,0.4155425780254207,raw coefficient,,
Sales ~ manganese | Full 2015-2025,Full 2015-2025,ln_sales,ln_manganese,1.961035004218875,0.0017225869587561102,0.5279350525780642,3.7145383596761703,19,0.4480124348017862,0.4155425780254207,% sales per +1% driver,1.961035004218875,
Gross margin ~ manganese | Full 2015-2025,Full 2015-2025,gross_margin,const,-0.4856568362342718,0.09123269691422926,0.2712726190248022,-1.7902906602964919,19,0.26819799748778883,0.2251508208694235,raw coefficient,,
Gross margin ~ manganese | Full 2015-2025,Full 2015-2025,gross_margin,ln_manganese,0.44356684715916295,0.02313345211072294,0.17770663756364086,2.4960623488265115,19,0.26819799748778883,0.2251508208694235,bps margin per +1% driver,44.136368847303146,
Operating margin ~ manganese | Full 2015-2025,Full 2015-2025,operating_margin,const,-0.8932079305767773,0.010282688177111192,0.3095966909336855,-2.885069371649386,19,0.3433992786432636,0.30477570679874966,raw coefficient,,
Operating margin ~ manganese | Full 2015-2025,Full 2015-2025,operating_margin,ln_manganese,0.6047382955879207,0.008373834250763894,0.2028121641780028,2.981765408593333,19,0.3433992786432636,0.30477570679874966,bps margin per +1% driver,60.17346120680772,
